sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PDHN,15.09565217,2.986666667,0.88,37.8,27.125,277216.0,0.000142582,-1.2296985,-4.527732,281.06778,10.28643,102565.99,0.9730439,450.4757,15.19459009,4.691749723,18.08231884,-0.37245,-0.41066
PDHN,13.63478261,2.986666667,0.88,40.6,28.99166667,289218.0,4.62e-05,-1.9540753,-4.4969735,280.68353,10.19747,102553.05,0.9823828,460.47888,23.48645009,4.903180696,16.62144928,-0.28485,-0.45726
PDHN,14.12173913,2.24,0.88,41.06666667,31.26666667,140008.0,8.03e-06,-2.1643057,-4.336347,280.49637,10.15103,102604.02,0.9651089,479.42944,26.52415267,4.846454835,16.36173913,-0.27633,-0.43206
PDHN,13.63478261,2.24,0.88,42.46666667,33.95,36802.0,4.02e-06,-2.2332582,-4.171815,280.33597,10.02538,102650.82,0.9622096,492.8507,28.16105736,4.731963924,15.87478261,-0.24359,-0.38433
PDHN,13.63478261,2.24,0.64,33.6,27.65,189612.0,0.0,-5.225575,1.0150962,281.10367,11.94564,102824.77,1.0000076,619.3723,100.993104,5.323255994,15.87478261,-0.46971,-0.49636
PDHN,7.791304348,1.493333333,0.64,39.2,28.93333333,255215.0,0.0,-5.2345686,1.2181982,281.2641,12.1151,102756.805,1.0000076,599.96936,103.1007884,5.374450231,9.284637681,-0.10041,-0.5911
PDHN,8.27826087,1.493333333,0.72,39.2,30.91666667,358021.0,0.0,-5.190724,1.5526328,281.4253,12.33755,102663.97,1.0000076,557.343,106.6528081,5.417959418,9.771594203,-0.11726,-0.57755
PDHN,9.739130435,2.24,0.72,40.13333333,32.9,472429.0,0.0,-5.192598,1.6366078,281.60098,12.57308,102576.07,0.9973067,526.2782,107.4938569,5.444406219,11.97913043,-0.18083,-0.50262
PDHN,10.22608696,2.24,0.72,40.13333333,34.53333333,453627.0,0.0,-5.3724737,1.3241432,281.7629,12.69348,102544.55,0.9988479,522.20654,103.8456246,5.533247588,12.46608696,-0.18495,-0.52405
PDHN,13.14782609,2.986666667,0.72,36.86666667,36.10833333,236814.0,0.0,-5.45117,1.4012829,281.97986,12.6503,102493.51,0.9887918,520.397,104.4163708,5.628396586,16.13449275,-0.393,-0.50897
PDHN,11.68695652,2.24,0.72,40.6,37.15833333,327620.0,4.02e-06,-5.6797624,1.5492153,282.18613,12.8459,102498.375,0.9943463,525.0718,105.2568951,5.88725479,13.92695652,-0.22695,-0.58604
PDHN,9.739130435,1.493333333,0.72,42.0,38.96666667,74004.0,4.02e-06,-5.8341565,1.8924379,282.32132,12.79226,102510.5,0.9156525,531.65674,107.9716192,6.133408781,11.23246377,-0.09848,-0.71262
PDHN,11.2,5.226666667,0.72,36.86666667,29.575,1088065.0,0.0,1.0120095,6.314788,286.4945,15.83984,102199.78,0.0993858,437.80847,189.1048153,6.395366347,16.42666667,-0.44044,-0.46297
PDHN,9.739130435,3.733333333,0.72,44.33333333,31.85,1422486.0,0.0,1.2128713,5.9583826,286.8184,16.47512,102129.15,0.06787473,415.49,191.5057678,6.080573986,13.47246377,-0.16973,-0.29418
PDHN,8.27826087,2.986666667,0.72,51.8,34.53333333,1586494.5,0.0,1.1330512,5.515562,287.0827,16.9632,102027.95,0.044756413,358.48743,191.6086611,5.630739667,11.26492754,0.06708,-0.07018
PDHN,8.27826087,2.24,0.72,54.6,37.68333333,1604896.5,0.0,0.73919713,5.1557393,287.2454,17.24716,101911.95,0.04414603,298.66992,188.1591017,5.208460437,10.51826087,0.16194,0.09424
PDHN,10.22608696,2.986666667,0.72,53.66666667,41.06666667,1452087.0,0.0,0.15722248,5.065906,287.3386,17.2923,101852.625,0.035448074,252.9773,181.7776275,5.068345145,13.21275362,0.0514,0.18444
PDHN,16.06956522,2.986666667,0.72,44.8,43.63333333,1123667.0,0.0,-0.2178945,4.650426,287.33096,17.40615,101806.1,0.057528704,198.53833,177.3173831,4.655527896,19.05623188,-0.33097,0.32749
PDHN,17.53043478,2.24,0.72,38.73333333,44.8,652039.0,0.0,-0.7384114,4.5068874,287.4868,16.85394,101797.875,0.038728863,141.93787,170.6952918,4.566977713,19.77043478,-0.47824,0.24613
PDHN,18.99130435,2.24,0.72,33.13333333,44.74166667,176011.0,0.0,-0.79799545,4.6440787,287.2859,15.8287,101817.95,0.02183649,130.7284,170.2500386,4.712140035,21.23130435,-0.68139,0.11691
PDHN,12.66086957,5.226666667,0.64,35.46666667,21.175,1119267.0,0.0,0.3277302,7.737966,288.31714,16.8533,101357.67,0.3755236,414.38416,182.4252293,7.744903156,17.88753623,-0.44044,-0.879
PDHN,13.87826087,6.346666667,0.64,41.06666667,23.975,1460488.0,0.0,0.14223278,8.072889,288.3156,17.44604,101217.22,0.2707664,412.22266,181.0093654,8.074141872,20.22492754,-0.4008,-0.81992
PDHN,32.62608696,16.42666667,0.92,34.3,25.4625,1710102.0,0.0,0.5907992,8.213498,288.3752,17.97338,101068.88,0.32579255,373.81885,184.1142155,8.234718762,49.05275362,-1.66869,-0.17904
PDHN,29.2173913,5.226666667,1.52,5.133333333,23.24583333,1719303.0,0.0,1.1323017,7.6940255,288.45847,18.38427,100975.57,0.17647731,305.00354,188.3719168,7.776897552,34.44405797,-1.58351,-0.8769
PDHN,25.32173913,17.92,1.36,4.666666667,21.72916667,1334880.0,0.0,0.49673894,7.570993,288.3225,18.3437,100867.93,0.43799642,361.90564,183.7538419,7.587271221,43.24173913,-1.94248,-0.59547
PDHN,19.47826087,4.853333333,1.44,4.2,20.79583333,772046.0,0.000498034,9.964227,-3.0069082,283.09668,12.9879,101316.91,0.9427383,688.43896,286.7922568,10.40804096,24.3315942,-1.64073,-1.95169
PDHN,20.93913043,2.986666667,1.52,5.133333333,19.1625,202412.0,0.000542216,8.454016,-2.8599522,281.5857,10.4428,101408.65,0.9542746,653.85535,288.6904264,8.924668796,23.9257971,-1.75562,-1.52483
PDHN,22.88695652,8.213333333,1.52,4.2,16.77083333,38802.0,3.61e-05,9.429095,-2.4068787,280.4429,9.48367,101546.57,0.98801357,712.86865,284.3195835,9.731438619,31.10028986,-2.08689,-1.64904
