sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PT,38.46956522,5.226666667,0.64,22.4,19.74583333,212013.0,1.61e-05,-1.1371372,-2.863858,280.71027,9.75518,102542.016,0.99175215,420.51672,21.65628476,3.081357437,43.69623188,-1.46629,-0.10896
PT,35.06086957,2.986666667,0.8,25.66666667,21.67083333,192411.0,1e-05,-1.3586099,-2.591428,280.60944,9.61974,102527.01,0.9981917,423.5327,27.66670808,2.925973332,38.04753623,-1.25303,-0.12555
PT,27.26956522,2.24,0.8,34.53333333,23.8875,112807.0,0.0,-1.3574857,-2.4610717,280.4872,9.53143,102582.984,0.98790675,427.55408,28.88038884,2.810630061,29.50956522,-0.84519,-0.17258
PT,26.7826087,1.493333333,0.8,35.46666667,25.6375,34402.0,4.02e-06,-1.3863409,-2.3268096,280.3497,9.27758,102627.8,0.9872048,404.63245,30.7869899,2.70850217,28.27594203,-0.81037,-0.14803
PT,25.80869565,3.733333333,0.64,31.73333333,33.54166667,168410.0,0.0,-3.9188488,0.89206326,280.48874,11.65124,102758.8,1.0000076,654.7099,102.8239477,4.019098503,29.54202899,-0.79314,-0.51504
PT,27.26956522,2.986666667,0.64,30.33333333,33.075,205612.0,0.0,-3.9240952,1.1166472,280.6973,11.95742,102694.805,1.0000076,682.55774,105.884323,4.079880404,30.25623188,-0.82405,-0.52562
PT,24.34782609,2.986666667,0.64,33.6,32.95833333,286417.0,0.0,-3.8169188,1.2445624,280.9952,12.31008,102599.98,1.0000076,685.5737,108.0593182,4.014698581,27.33449275,-0.66593,-0.51122
PT,24.83478261,3.733333333,0.64,32.2,33.075,414025.0,0.0,-4.155311,1.4012829,281.16556,12.8132,102505.086,1.0000076,699.8998,108.6354933,4.385225567,28.56811594,-0.68272,-0.64998
PT,27.26956522,3.733333333,0.64,29.4,32.375,381223.0,0.0,-4.351301,1.1571699,281.33896,13.00427,102464.52,0.9977187,686.62933,104.8923538,4.502539569,31.00289855,-0.78703,-0.6812
PT,27.26956522,2.986666667,0.64,29.86666667,31.96666667,216813.0,0.0,-4.1845407,1.2811793,281.52078,12.69152,102417.52,0.9667264,631.8888,107.0229975,4.376277101,30.25623188,-0.78004,-0.64079
PT,27.26956522,2.24,0.64,31.26666667,31.55833333,292818.0,0.0,-4.369289,1.4154414,281.6262,12.81844,102423.35,0.95345056,608.16284,107.949853,4.592837981,29.50956522,-0.71467,-0.7344
PT,28.24347826,1.493333333,0.72,31.73333333,31.26666667,67204.0,4.02e-06,-4.417256,1.6043848,281.61472,12.5502,102430.48,0.8690802,576.04236,109.9614504,4.69959585,29.73681159,-0.72246,-0.77536
PT,22.88695652,6.72,0.64,32.66666667,23.21666667,1003260.0,0.0,0.9932723,3.9898562,286.99637,17.34005,102134.766,0.15522069,587.55347,193.9795753,4.111634998,29.60695652,-0.59788,-0.15276
PT,17.53043478,5.226666667,0.56,38.26666667,24.61666667,1353681.0,0.0,1.4006171,4.017685,287.5189,18.58447,102059.125,0.1419906,642.94745,199.2192174,4.254823265,22.75710145,-0.22333,-0.26535
PT,16.55652174,3.733333333,0.56,42.0,26.425,1578495.0,0.0,1.640827,3.6729977,287.8252,19.58026,101949.914,0.09358716,673.25836,204.0716019,4.022837972,20.28985507,-0.05468,-0.13218
PT,18.99130435,3.733333333,0.56,42.46666667,28.64166667,1508090.5,0.0,1.4883069,3.2008834,287.98944,20.12786,101827.95,0.11696488,678.9888,204.9368988,3.529973367,22.72463768,-0.13044,0.17571
PT,19.47826087,3.733333333,0.56,43.86666667,31.79166667,1344480.5,0.0,1.0963265,2.8830483,288.14526,20.43734,101767.664,0.05482775,674.0124,200.8201292,3.084460941,23.2115942,-0.13153,0.40699
