sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
DSL,18.50434783,2.24,0.4,32.66666667,24.26666667,428026.0,0.0,-4.303334,1.7908871,281.66513,13.3968,102451.58,0.98581624,695.7779,112.5952569,4.661111468,20.74434783,-0.55578,-1.11279
DSL,16.06956522,1.493333333,0.4,35.46666667,26.83333333,300018.0,0.0,-3.9754348,1.85338,281.77515,13.00753,102413.484,0.9100981,688.6903,114.9953155,4.386239765,17.56289855,-0.44212,-1.02867
DSL,17.04347826,0.746666667,0.48,34.53333333,29.28333333,316419.0,2.01e-06,-4.0293975,1.9495604,281.77438,13.08212,102424.375,0.8756876,660.943,115.8192859,4.476251776,17.79014493,-0.45854,-1.07442
DSL,18.0173913,0.746666667,0.48,34.06666667,30.74166667,65204.0,2e-06,-4.0061636,2.0330472,281.69495,12.5973,102422.46,0.76513183,623.2429,116.9068743,4.492507953,18.76405797,-0.51845,-1.06972
DSL,20.93913043,7.466666667,0.48,26.6,19.6,1052863.0,0.0,1.049109,3.0675976,286.81686,17.19546,102175.734,0.18528211,493.90625,198.8805311,3.242034042,28.4057971,-0.80482,0.10891
DSL,18.0173913,5.226666667,0.48,34.06666667,20.94166667,1400484.0,0.0,1.5010481,3.165243,287.34317,18.5982,102099.14,0.19278985,548.64685,205.3716361,3.503128409,23.24405797,-0.45386,-0.04194
DSL,18.99130435,5.226666667,0.4,37.33333333,22.575,1697702.0,0.0,1.8937778,2.9348001,287.72894,19.7857,101983.96,0.12711251,579.8124,212.8334818,3.492770531,24.21797101,-0.3772,0.06881
DSL,21.42608696,5.973333333,0.4,36.86666667,24.96666667,1507690.5,0.0,1.7959702,2.487097,287.9207,20.34313,101860.984,0.10729027,583.3812,215.8336176,3.067761472,27.39942029,-0.47021,0.39169
DSL,21.91304348,5.226666667,0.4,36.86666667,27.59166667,1420085.0,0.0,1.5205346,2.1594975,288.12924,20.8567,101799.66,0.048479766,599.91907,215.1499511,2.641108654,27.13971014,-0.45208,0.6176
DSL,30.19130435,6.72,0.4,28.46666667,29.75,1227673.5,0.0,1.5497646,1.3485545,288.29578,21.10534,101763.14,0.040315866,577.1985,228.971275,2.054353805,36.91130435,-0.90182,1.14771
